SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1
NY0022411,SILVER CREEK WWTP,Surface,0.75,ST RTE 5 - N SIDE - W SIDE OF SILVER CREEK,SILVER CREEK,NY,USA,14136,42.54,-79.16,"ST RTE 5 - N SIDE - W SIDE OF SILVER CREEK
SILVER CREEK, NY 14136
(42.54, -79.16)"
NY0094480,SKANEATELES (V) WWTP,Surface,0.85,FENNELL ST,SKANEATELES,NY,USA,13152,42.95,-76.43,"FENNELL ST
SKANEATELES, NY 13152
(42.95, -76.43)"
NY0105198,SLOATSBURG MOUNTAIN LAKE MANOR STP,Surface,0.03,LINCOLN ST,SLOATSBURG,NY,USA,10974,41.15,-74.18,"LINCOLN ST
SLOATSBURG, NY 10974
(41.15, -74.18)"
NY0244287,SMYRNA (V) WASTEWATER TREATMENT FACILITY,Ground,0.02,SCHOOL RD,SMYRNA,NY,USA,13464,42.68,-75.56,"SCHOOL RD
SMYRNA, NY 13464
(42.68, -75.56)"
NY0028088,SODUS POINT - V STP,Surface,0.57,8120 LAKE RD,SODUS POINT,NY,USA,14555,43.26,-76.99,"8120 LAKE RD
SODUS POINT, NY 14555
(43.26, -76.99)"
NY0021482,SODUS - V STP,Surface,0.38,MUD LN,SODUS,NY,USA,14551,43.25,-77.06,"MUD LN
SODUS, NY 14551
(43.25, -77.06)"
NY0030651,SOMERSET-BARKER SD STP,Surface,0.28,8500 LOWER LAKE RD,BARKER,NY,USA,14012,43.36,-78.55,"8500 LOWER LAKE RD
BARKER, NY 14012
(43.36, -78.55)"
NY0191825,SOUTH ALBANY SEWER DIST STP,Surface,0.01,SCOTT BLVD,SOUTH ALBANY,NY,USA,,42.55,-73.84,"SCOTT BLVD
SOUTH ALBANY, NY
(42.55, -73.84)"
NY0106895,SOUTH & CENTER CHAUTAUQUA LAKE WWTP,Surface,4.10,51 GIFFORD AVE,CELORON,NY,USA,14701,42.10,-79.27,"51 GIFFORD AVE
CELORON, NY 14701
(42.10, -79.27)"
NY0110531,SOUTH CORNING - V WWTP,Surface,0.20,7 CLARK ST,SOUTH CORNING,NY,USA,14830,42.12,-77.03,"7 CLARK ST
SOUTH CORNING, NY 14830
(42.12, -77.03)"
NY0204846,SOUTH DAYTON STP,Surface,0.08,RAILROAD ST EXT,SOUTH DAYTON,NY,USA,14138,42.35,-79.05,"RAILROAD ST EXT
SOUTH DAYTON, NY 14138
(42.35, -79.05)"
NY0110353,SOUTHEAST BREWSTER HEIGHTS SEWER DIS 1,Surface,0.15,PUTNAM AVE - W OF METRO-NORTH,BREWSTER,NY,USA,10509,41.40,-73.62,"PUTNAM AVE - W OF METRO-NORTH
BREWSTER, NY 10509
(41.40, -73.62)"
NY0024520,SOUTH FALLSBURG WWTP,Surface,3.26,ST RTE 42 - E SIDE - N OF WILLOW HEIGHTS RD,SOUTH FALLSBURG,NY,USA,12779,41.71,-74.61,"ST RTE 42 - E SIDE - N OF WILLOW HEIGHTS RD
SOUTH FALLSBURG, NY 12779
(41.71, -74.61)"
NY0026484,SPECULATOR - V  STP,Surface,0.30,ST RTE 30 - N SIDE - E OF RIVER,SPECULATOR,NY,USA,12164,43.49,-74.35,"ST RTE 30 - N SIDE - E OF RIVER
SPECULATOR, NY 12164
(43.49, -74.35)"
NY0020656,SPENCERPORT - V WWTP,Surface,1.00,27 WEST AVE,SPENCERPORT,NY,USA,14559,43.19,-77.78,"27 WEST AVE
SPENCERPORT, NY 14559
(43.19, -77.78)"
NY0269328,SPRINGBROOK SHORES WWTP,Surface,0.03,RICE RD - BETWEEN SENECA & BOWEN,ELMA,NY,USA,14059,42.83,-78.65,"RICE RD - BETWEEN SENECA &amp; BOWEN
ELMA, NY 14059
(42.83, -78.65)"
NY0021474,SPRINGVILLE WWTP,Surface,1.15,145 MILL ST,SPRINGVILLE,NY,USA,14141,42.50,-78.67,"145 MILL ST
SPRINGVILLE, NY 14141
(42.50, -78.67)"
NY0246450,SPRINGWATER-T WWTP,Surface,0.04,8022 S MAIN ST,SPRINGWATER,NY,USA,14560,42.64,-77.60,"8022 S MAIN ST
SPRINGWATER, NY 14560
(42.64, -77.60)"
NY0021555,STAMFORD - V STP,Surface,0.70,RAILROAD AVE,STAMFORD,NY,USA,12167,42.40,-74.62,"RAILROAD AVE
STAMFORD, NY 12167
(42.40, -74.62)"
NY0093637,STILLWATER STP,Surface,0.55,RUNDLE LN,STILLWATER,NY,USA,12170,42.94,-73.65,"RUNDLE LN
STILLWATER, NY 12170
(42.94, -73.65)"
NY0024333,ST JOHNSVILLE - V STP,Surface,2.00,BRIDGE ST,ST JOHNSVILLE,NY,USA,13452,42.99,-74.67,"BRIDGE ST
ST JOHNSVILLE, NY 13452
(42.99, -74.67)"
NY0031291,STOCKPORT - T KINGS ACRES STP,Surface,0.06,ROSSMANN RD & US RTE 9,STUYVESANT,NY,USA,12173,42.32,-73.74,"ROSSMANN RD &amp; US RTE 9
STUYVESANT, NY 12173
(42.32, -73.74)"
NY0028851,STONY POINT STP,Surface,1.00,24 NORTH ST,STONY POINT,NY,USA,10980,41.22,-73.96,"24 NORTH ST
STONY POINT, NY 10980
(41.22, -73.96)"
NY0255858,ST REGIS FALLS WWTP,Surface,0.12,70 CAMPSITE RD,ST REGIS FALLS,NY,USA,12980,44.67,-74.55,"70 CAMPSITE RD
ST REGIS FALLS, NY 12980
(44.67, -74.55)"
NY0022748,SUFFERN - V STP,Surface,1.80,RIDGE AVE,SUFFERN,NY,USA,10901,41.11,-74.15,"RIDGE AVE
SUFFERN, NY 10901
(41.11, -74.15)"
NY0078131,SUFFOLK CO COMMNTY COLLEGE WWTP,Ground,0.01,OLD MORICHES RD,RIVERHEAD,NY,USA,11901,40.87,-72.70,"OLD MORICHES RD
RIVERHEAD, NY 11901
(40.87, -72.70)"
NY0077330,SUFFOLK CO NOB HILL SD#15 STP,Ground,0.09,RICHMOND BLVD & NICHOLS RD,RONKONKOMA,NY,USA,11779,40.82,-73.14,"RICHMOND BLVD &amp; NICHOLS RD
RONKONKOMA, NY 11779
(40.82, -73.14)"
NY0065358,SUFFOLK CO PARKLAND SD#14 STP,Ground,1.25,117 JOANNE DR|PATCHOGUE - HOLBROOK RD,HOLBROOK,NY,USA,11741,40.78,-73.06,"117 JOANNE DR|PATCHOGUE - HOLBROOK RD
HOLBROOK, NY 11741
(40.78, -73.06)"
NY0226971,SUFFOLK COUNTY (GABRESKI) AIRPORT,Ground,0.10,CO RTE 31,WESTHAMPTON,NY,USA,11978,40.84,-72.63,"CO RTE 31
WESTHAMPTON, NY 11978
(40.84, -72.63)"
NY0079359,"SUFFOLK COUNTY STP #20-W, LEISURE VILLAGE",Ground,0.30,WHISKEY RD & BRIDGEWATER RD,RIDGE,NY,USA,11961,40.91,-72.89,"WHISKEY RD &amp; BRIDGEWATER RD
RIDGE, NY 11961
(40.91, -72.89)"
NY0079511,SUFFOLK SD #12/BIRCHWOOD SEWER DISTRICT,Ground,0.18,ESSEX DR - BETWEEN ELAN LN & WARREN AVE,FARMINGVILLE,NY,USA,11779,40.82,-73.06,"ESSEX DR - BETWEEN ELAN LN &amp; WARREN AVE
FARMINGVILLE, NY 11779
(40.82, -73.06)"
NY0077429,SUFFOLK SD #13/WINDWATCH STP,Ground,0.40,BLYDENBURG RD,HAUPPAUGE,NY,USA,11788,40.82,-73.18,"BLYDENBURG RD
HAUPPAUGE, NY 11788
(40.82, -73.18)"
NY0136964,SUFFOLK SD#18/HAUPPAUGE INDUSTRL PRK STP,Ground,1.65,116 MOTOR PKWY|SCTM# 800-118-2-6,HAUPPAUGE,NY,USA,11788,40.80,-73.26,"116 MOTOR PKWY|SCTM# 800-118-2-6
HAUPPAUGE, NY 11788
(40.80, -73.26)"
NY0084514,SUFFOLK SD#18N/HEARTLAND INDUSTRL PK STP,Ground,0.20,220 OSER AVE,HAUPPAUGE,NY,USA,11788,40.81,-73.25,"220 OSER AVE
HAUPPAUGE, NY 11788
(40.81, -73.25)"
